account_num,base,tenure, sessions ,duration,mega_bytes,case_count,comp_flag,train_flag,pcs_flag,holiday_flag,churn
4376950,MCMIRA,31, 451.00 ,412841.4987,8093530.304,0,0,0,1,0,1
7499335,ARBLSS,427," 48,946.00 ",35698198.26,110153716.9,4,0,0,0,0,0
2457963,ARBRAG,182," 10,642.00 ",8444731.468,44501217.83,1,1,0,0,0,0
3059934,ARRILE,93," 16,832.00 ",20698110.2,22427166.21,1,0,0,0,0,0
7551183,AFSHEP,98," 3,772.00 ",3275243.197,23376040.88,0,0,1,0,0,0
4296205,ARGORD,37, 267.00 ,251091.5671,8805711.48,0,0,0,0,0,1
5348702,AFLACK,31," 1,531.00 ",1040243.795,7271448.955,0,0,1,1,0,1
9360991,AFACDY,31," 7,028.00 ",6945988.745,7132970.017,2,0,1,0,0,1
5300188,ARBLSS,30," 5,450.00 ",4067844.531,6882260.448,0,0,0,0,1,1
9831539,AFACDY,31," 5,314.00 ",5298955.285,7059603.651,0,0,1,0,0,1
1304002,ARHOUS,212," 12,471.00 ",7438209.343,48266600.65,6,0,1,1,0,0
3169559,ARBLSS,61," 13,243.00 ",9947768.934,13833561.83,0,0,0,0,0,1
4644205,ARBLSS,61," 6,984.00 ",3503409.804,13551915.11,0,0,0,0,1,1
2612815,AFSHEP,61," 1,450.00 ",1338674.003,13535804.6,0,0,1,0,1,1
7517378,AFSHEP,61," 6,549.00 ",4865257.323,13511691.06,0,0,1,1,0,1
8607592,AFACDY,84," 7,391.00 ",6444700.354,18480390.88,1,0,1,0,1,1
8058120,ARBLSS,91," 5,269.00 ",3318135.708,19485658.4,0,0,0,1,0,0
8586507,MCBUFT,30," 2,471.00 ",2560144.623,6405915.701,0,0,1,0,0,1
6542983,AFACDY,31," 3,434.00 ",3116015.318,6525898.895,2,0,1,0,0,1
4446246,ARBLSS,44," 7,820.00 ",4636786.68,9125697.633,0,0,0,0,0,1
6545005,MCHAWI,31," 3,327.00 ",2148112.085,6399991.016,0,0,0,0,1,1
1659526,AFLACK,105," 16,135.00 ",14312662.22,21597412.08,0,0,1,0,0,0
8069265,ARHOOD,31," 2,769.00 ",2018744.716,6259255.114,1,0,0,0,1,1
7243940,MCCHPT,32," 1,879.00 ",1609785.611,6459193.601,1,1,0,0,0,1
6287927,ARBLSS,73," 16,017.00 ",9485491.646,14602330.35,1,0,0,0,1,1
8105338,ARHUAC,182," 22,709.00 ",11726573.12,36290621.85,0,0,0,1,0,0
2452166,ARGORD,153," 12,391.00 ",8117618.519,30502745.97,0,0,0,0,1,0
6859391,ARHUAC,181," 23,582.00 ",16886540.92,35696773.87,0,0,0,1,0,0
2804461,AFACDY,39," 6,092.00 ",4514356.347,7585134.544,0,0,1,0,0,1
3070219,ARBLSS,47," 6,659.00 ",3906574.486,9114859.055,4,0,0,0,0,1
6310413,AFKEES,153," 15,631.00 ",17815522.82,29224049.08,0,0,1,0,0,0
6120067,ARBLSS,31," 1,815.00 ",987652.6545,5905781.359,0,0,0,0,0,1
3017814,AFACDY,31," 3,854.00 ",3541751.012,5879048.255,0,0,1,0,0,1
1419173,ARRILE,156," 7,749.00 ",11216218.23,29556688.43,3,0,0,0,1,0
2090282,ARBLSS,89," 8,025.00 ",5004808.615,16288693.79,1,0,0,1,0,1
1904653,FLARTS,61," 12,900.00 ",12981838.75,11112197.81,0,0,1,0,0,1
2049001,ARBENN,182," 6,156.00 ",5348360.33,32758391.63,1,0,1,1,0,0
6436502,AREUST,30," 1,527.00 ",1373196.558,5336057.005,0,0,1,1,0,1
4000542,ARBLSS,181," 13,683.00 ",10211962.61,32185803.19,1,0,0,1,0,0
8197763,ARHOUS,151," 24,897.00 ",22029991.22,26593471.1,0,0,1,0,0,0
7391877,ARHUAC,59," 1,469.00 ",1074654.884,10381114.37,0,0,0,0,0,1
1295681,ARLEEE,61," 5,751.00 ",4076650.797,10696953.32,0,0,1,0,1,1
4593599,AFACDY,31," 3,020.00 ",2105418.415,5356822.439,0,0,1,0,0,1
5586299,ARBRAG,70," 1,498.00 ",1424789.685,12082932.06,0,1,0,1,0,1
8716248,ARCARS,63," 1,927.00 ",2043043.623,10745288.1,0,0,0,0,1,1
1812194,ARLEEE,60," 4,307.00 ",4940563.896,10115894.7,0,0,1,0,0,1
6974300,ARHUAC,215," 39,924.00 ",24613116.2,35731604.73,0,0,0,0,0,0
8888312,ARHUAC,182," 11,158.00 ",7046502.024,30073002.7,0,0,0,0,0,0
6187441,ARBLSS,61, 564.00 ,238459.7131,10076220.08,0,0,0,0,0,1
5883813,MC29PM,31," 1,946.00 ",1813081.38,5093942.095,0,0,0,0,0,1
4531068,MCCLJN,92," 2,218.00 ",2148625.149,15034207.71,2,1,0,0,1,0
2729417,ARCAMP,213," 7,714.00 ",6500327.014,34796353.92,0,1,0,0,0,0
2181914,ARCARS,30, 878.00 ,1005832.496,4894219.706,0,0,0,1,0,1
9061812,AFLACK,61," 2,397.00 ",1612245.876,9935860.39,1,0,1,1,0,1
5397971,MC29PM,31," 1,457.00 ",1413560.436,5042174.825,0,0,0,1,0,1
6542853,AFACDY,63," 3,643.00 ",3905739.217,10239915.33,1,0,1,0,0,1
1192522,ARGORD,141," 4,228.00 ",3135347.089,22769110.77,2,0,0,1,0,0
9820659,ARBLSS,32," 3,147.00 ",2103604.874,5126190.929,0,0,0,0,1,1
8348519,ARBLSS,31," 4,250.00 ",2197062.441,4962786.896,0,0,0,1,0,1
1522294,ARHUAC,103," 12,604.00 ",7408908.825,16365017.12,0,0,0,0,0,0
9530080,ARBLSS,245," 19,118.00 ",11017436.81,38579584.05,0,0,0,0,0,0
3525696,ARRILE,122," 4,606.00 ",4525442.428,19177945.75,2,0,0,0,0,0
2298843,ARHUAC,151," 24,843.00 ",14217295.8,23656262.93,0,0,0,0,0,0
8176884,ARRILE,60," 3,365.00 ",3887066.273,9383786.818,2,0,0,0,0,1
5495621,ARPRES,30," 4,164.00 ",3095941.088,4676216.706,0,0,1,0,0,1
5960541,ARBLSS,61," 3,393.00 ",2399611.996,9501085.814,0,0,0,1,0,1
7185907,ARLEEE,30," 10,043.00 ",8332851.724,4641750.982,0,0,1,1,0,1
6336106,MCCLJN,61," 2,516.00 ",1057674.382,9417327.336,0,1,0,0,0,1
1355825,ARHUAC,304," 19,222.00 ",11895678.97,46865509.48,0,0,0,1,0,0
4806578,ARHUAC,120," 9,866.00 ",5969728.217,18483121.63,0,0,0,1,0,0
2040066,ARHUAC,30," 4,696.00 ",2766938.915,4619616.607,0,0,0,1,0,1
7155042,ARLEOW,91," 3,074.00 ",2422389.686,13969966.77,0,0,1,1,0,0
6320882,ARHUAC,184," 22,501.00 ",17667630.61,28197985.45,0,0,0,0,0,0
8115970,ARHUAC,30," 5,378.00 ",2750090.999,4593265.052,0,0,0,1,0,1
4037195,AFNELL,31," 5,909.00 ",4359754.659,4719152.039,0,0,0,0,0,1
6379036,ARBLSS,59," 3,881.00 ",2776682.272,8924877.851,0,0,0,0,0,1
4890501,AFACDY,61," 5,704.00 ",4433262.156,9183181.851,0,0,1,0,0,1
9858995,ARKNOX,31, 240.00 ,228901.9336,4664070.71,0,0,1,0,0,1
7562521,ARBLSS,61," 5,701.00 ",3619561.441,9141246.019,0,0,0,0,0,1
6105431,MCCLJN,33," 1,922.00 ",1190221.101,4817499.665,0,1,0,0,0,1
5204925,ARBLSS,59," 4,733.00 ",1912675.835,8575150.106,0,0,0,0,0,1
5014154,ARHUAC,31," 2,444.00 ",1791514.796,4504119.671,0,0,0,0,0,1
6735499,ARBLSS,34," 1,474.00 ",2024314.705,4919416.722,0,0,0,0,0,1
9400910,AFACDY,31," 4,161.00 ",3569609.214,4462443.249,1,0,1,0,0,1
8734833,ARHUAC,30," 4,979.00 ",5877953.509,4296166.779,0,0,0,0,0,1
7700689,MC29PM,62," 6,209.00 ",7564651.895,8856203.646,0,0,0,0,0,1
5359280,ARBLSS,48," 2,944.00 ",1731594.043,6847057.039,0,0,0,0,1,1
3331099,AFKEES,30," 2,282.00 ",2291144.402,4221918.993,1,0,1,0,1,1
1977360,ARHUAC,150," 17,896.00 ",10421324.98,21003230.16,0,0,0,0,0,0
1574796,ARHUAC,181," 24,425.00 ",14782372.05,25311404.23,0,0,0,1,0,0
6677060,AFLACK,97," 6,867.00 ",5516561.703,13516486.4,0,0,1,0,1,0
7421093,ARHUAC,99," 11,283.00 ",8033440.51,13785323.11,0,0,0,0,0,0
2147059,AFACDY,61," 2,445.00 ",1873626.6,8401609.042,4,0,1,0,1,1
3672629,ARRILE,38, 865.00 ,805631.8827,5216105.689,0,0,0,1,0,1
9956095,ARHUAC,40, 552.00 ,492459.314,5484912.595,0,0,0,1,0,1
8279589,ARRILE,61," 1,519.00 ",1160702.905,8357181.315,1,0,0,1,0,1
7351023,ARBRAG,91," 4,428.00 ",3853453.27,12466196.89,0,1,0,0,0,0
6892218,MCCLJN,37," 3,132.00 ",2315710.831,5062391.454,0,1,0,0,0,1
9532402,ARBLSS,61," 4,271.00 ",2774250.633,8311463.407,0,0,0,0,1,1
6804705,ARHUAC,31," 2,265.00 ",1397839.348,4202286.895,0,0,0,1,0,1
7845562,ARHUAC,61," 7,089.00 ",4242082.226,8236805.869,0,0,0,0,0,1
1148141,MCCHPT,92," 2,336.00 ",2614015.139,12416951.38,0,1,0,0,1,0
5987394,MC29PM,30," 1,167.00 ",1024241.936,4019509.421,0,0,0,1,0,1
5505237,MCCLJN,92, 623.00 ,553775.1816,12324857.28,0,1,0,1,0,0
9860102,MCCLJN,34," 1,190.00 ",880288.0663,4546878.274,0,1,0,1,0,1
8549079,ARHUAC,59," 6,116.00 ",2882199.451,7844788.906,0,0,0,0,0,1
4167386,ARLEEE,61," 1,861.00 ",1864446.047,8103616.648,0,0,1,1,0,1
8945627,ARHUAC,32," 4,394.00 ",2485432.546,4236984.452,0,0,0,0,1,1
4204774,AFACDY,365," 12,856.00 ",27887906.61,48309039.07,2,0,1,1,0,0
4806924,ARHOUS,31," 2,233.00 ",1918375.835,4088100.809,0,0,1,0,1,1
3693519,ARCARS,123," 11,671.00 ",10224978.7,16184447.85,6,0,0,0,0,0
4740731,MCCHPT,90," 3,392.00 ",2857482.153,11838443.75,0,1,0,0,0,1
8145149,ARBLSS,71," 34,465.00 ",17425373.23,9298740.97,0,0,0,0,1,1
4905532,ARBLSS,90," 5,985.00 ",3408116.016,11774656.8,1,0,0,0,0,1
7185540,AFLACK,31," 2,324.00 ",1451854.214,4039778.799,0,0,1,1,0,1
5983893,AFLACK,123," 9,730.00 ",10054023.3,16017710.99,0,0,1,0,0,0
9577865,MCCLJN,31," 3,896.00 ",4115887.734,4023760.262,1,1,0,0,0,1
2097338,ARBLSS,63," 10,334.00 ",5592460.95,8162564.25,2,0,0,0,0,1
3380777,ARBLSS,151," 13,423.00 ",8439612.302,19404729.08,0,0,0,1,0,0
2062840,ARSTEW,367," 12,664.00 ",10944214.1,46943382.2,0,0,0,1,0,0
4426536,ARBLSS,43," 6,379.00 ",3083223.566,5491797.97,0,0,0,0,1,1
2406266,ARBLSS,132," 10,247.00 ",6597841.489,16845908.74,0,0,0,0,1,0
1504411,ARIRWN,151," 5,045.00 ",3778555.134,19179733.58,15,0,0,1,0,0
7791036,AFKEES,182," 4,694.00 ",4083739.28,23035445.64,0,0,1,1,0,0
6028460,AFACDY,80," 6,796.00 ",5409114.3,10100441.28,0,0,1,0,0,1
9134593,ARBLSS,30," 1,115.00 ",820716.9454,3787331.301,0,0,0,1,0,1
2380615,ARBLSS,151," 12,814.00 ",9791134.439,19004123.02,0,0,0,0,0,0
2103923,MCYUMA,120," 7,098.00 ",7740975.215,15075791.64,0,0,0,1,0,0
5467567,ARBRAG,445," 24,268.00 ",21187586.97,55873030.03,2,1,0,0,0,0
2771455,AFKEES,137," 2,168.00 ",2002311.165,17185913.16,0,0,1,1,0,0
6577593,ARBLSS,30," 6,191.00 ",3110431.805,3760390.239,0,0,0,0,1,1
5018157,AFKEES,122," 5,142.00 ",4070220.85,15216498.29,1,0,1,1,0,0
5044626,ARIRWN,60," 4,155.00 ",2751465.108,7446855.294,0,0,0,0,0,1
7107203,ARHUAC,212," 14,902.00 ",8999514.143,26232359.38,0,0,0,1,0,0
6721172,ARBLSS,311," 13,372.00 ",10495350.73,38239612.91,2,0,0,0,0,0
6011415,ARHUAC,153," 9,036.00 ",5595069.308,18767829.02,0,0,0,1,0,0
1766831,AFLACK,63," 3,056.00 ",3116026.141,7719094.198,0,0,1,0,1,1
3559085,ARSILL,61," 2,508.00 ",2680564.268,7449380.541,0,0,0,1,0,1
1855848,ARBLSS,160," 11,324.00 ",7893514.306,19533871.16,0,0,0,0,0,0
5925253,ARHUAC,59," 3,953.00 ",2319171.604,7135615.487,0,0,0,0,0,1
2413885,ARHUAC,212," 15,943.00 ",9612298.88,25519562.29,0,0,0,1,0,0
1075990,ARCARS,39," 1,966.00 ",1658543.751,4640233.145,1,0,0,0,0,1
5199622,AFKEES,93," 2,668.00 ",2504742.033,11043191.69,0,0,1,0,0,0
3047181,AFSHEP,100," 3,308.00 ",2278786.497,11792858.24,0,0,1,0,0,0
4115729,AFACDY,32," 3,706.00 ",3381045.199,3757097.678,0,0,1,0,0,1
1526819,FLCHLS,30," 1,152.00 ",910907.4118,3517033.769,1,0,1,0,1,1
5797543,ARBLSS,31," 1,137.00 ",658990.2964,3627707.344,1,0,0,0,1,1
8594576,AFACDY,31," 2,948.00 ",2027539.24,3621378.965,0,0,1,0,0,1
7356060,ARHUAC,181," 12,120.00 ",7952997.472,21011634.62,1,0,0,0,0,0
9988032,ARBRAG,92," 2,379.00 ",1652410.003,10657407.35,0,1,0,1,0,0
8145276,ARBLSS,95," 23,412.00 ",11068852.02,10979735.53,1,0,0,0,0,0
3020682,ARCARS,32," 1,953.00 ",1190403.631,3696536.948,0,0,0,0,0,1
6416184,ARBLSS,152," 16,996.00 ",10550334.2,17516093,2,0,0,0,0,0
3782485,ARBLSS,30," 1,865.00 ",1134217.327,3439314.669,0,0,0,1,0,1
2600884,ARBLSS,30," 5,798.00 ",2779078.306,3432753.935,1,0,0,1,0,1
7627960,ARHUAC,61," 4,690.00 ",3026602.622,6976449.746,0,0,0,0,0,1
1891771,ARHUAC,38," 3,248.00 ",2241494.868,4340547.436,0,0,0,0,0,1
3840714,ARBLSS,33," 2,323.00 ",1844420.27,3765188.802,0,0,0,0,0,1
2998217,ARBLSS,215," 19,599.00 ",18752328.82,24467784.92,1,0,0,0,0,0
7892362,ARRILE,123," 3,885.00 ",4505089.401,13993127.1,0,0,0,0,1,0
2010803,ARBLSS,61," 4,568.00 ",2810080.689,6934133.205,2,0,0,0,1,1
4888765,ARHUAC,32," 1,745.00 ",1043470.85,3628498.909,2,0,0,0,1,1
7325406,ARBLSS,80," 8,681.00 ",4126219.55,9066340.563,0,0,0,0,0,1
7984043,ARBLSS,151," 15,794.00 ",8343570.805,17091178.18,0,0,0,1,0,0
3895042,ARBLSS,31," 2,510.00 ",2490827.615,3506076.717,1,0,0,0,0,1
6415857,ARLEEE,61," 2,934.00 ",2524500.978,6852982.482,0,0,1,1,0,1
2084778,AFKEES,44," 1,970.00 ",1317336.569,4926259.263,0,0,1,0,0,1
8841019,AFACDY,122," 10,060.00 ",9336569.073,13620369.12,0,0,1,0,1,0
3418773,ARPOLK,61," 6,441.00 ",6259817.955,6768632.991,0,0,0,1,0,1
3657083,ARBLSS,48," 6,359.00 ",3249218.005,5313085.065,0,0,0,0,1,1
1117847,ARBLSS,90," 5,629.00 ",3828844.801,9950357.317,0,0,0,0,0,1
2050025,ARBLSS,62," 4,039.00 ",3384566.448,6830784.652,0,0,0,0,0,1
8021268,ARBRAG,211," 2,060.00 ",2224006.141,23244370.04,1,1,0,1,0,0
1165377,AFACDY,31," 3,616.00 ",2997289.067,3413314.684,0,0,1,0,0,1
8847646,AFACDY,31," 3,586.00 ",3048444.568,3412493.682,0,0,1,0,0,1
7279684,ARSTEW,119," 12,417.00 ",13231804.63,13071698.23,0,0,0,1,0,0
4276746,ARHUAC,181," 11,673.00 ",11192210.49,19874872.81,2,0,0,1,0,0
4338545,ARBLSS,31," 2,267.00 ",1491099.581,3382568.877,0,0,0,0,1,1
2229171,AFACDY,273," 29,886.00 ",19624543.56,29745798.79,0,0,1,1,0,0
6165064,MCBUFT,31," 1,666.00 ",1071078.103,3376438.478,1,0,1,0,1,1
7504460,ARRILE,153," 7,893.00 ",11768106.65,16651042.63,3,0,0,0,1,0
3096462,ARHUAC,151," 10,615.00 ",6577852.016,16416258.86,0,0,0,0,0,0
9258794,ARHUAC,151," 11,709.00 ",8107788.261,16410826.51,1,0,0,1,0,0
9342349,ARLEEE,110," 6,938.00 ",4319366.475,11883016.43,0,0,1,0,1,0
2684190,ARGORD,35," 4,203.00 ",2496435.451,3779102.024,0,0,0,0,0,1
2907535,ARBLSS,213," 5,116.00 ",4027302.26,22834834.8,0,0,0,0,0,0
1383314,MC29PM,140," 3,435.00 ",2367614.27,14989251.85,0,0,0,1,0,0
9293115,MBKSDC,32," 1,597.00 ",1493239.766,3405365.11,0,0,0,0,0,1
1689488,MC29PM,33," 2,736.00 ",2434665.47,3499072.284,0,0,0,0,0,1
9619477,ARBLSS,31," 5,267.00 ",3504171.007,3285954.873,0,0,0,0,1,1
9510651,ARBLSS,31, 597.00 ,341663.4505,3269798.73,1,0,0,0,0,1
7714701,ARBLSS,152," 10,598.00 ",7136452.508,16002422.17,0,0,0,1,0,0
7766206,ARLEOW,121," 4,039.00 ",4070601.097,12709747.52,5,0,1,0,0,0
2813376,ARBLSS,33," 2,102.00 ",1285407.866,3456930.608,0,0,0,0,0,1
5119939,AFLACK,124," 6,206.00 ",5024303.418,12975103.4,0,0,1,0,1,0
6541828,ARSTEW,90," 3,269.00 ",2491584.641,9408068.011,0,0,0,0,0,1
9709586,ARHOOD,62," 2,895.00 ",2386654.875,6472059.136,0,0,0,0,0,1
4152854,ARHOUS,95," 12,892.00 ",10511735.4,9899253.031,0,0,1,0,0,0
4964136,ARIRWN,91," 3,051.00 ",2594827.036,9477831.508,1,0,0,0,0,0
5563793,AFLACK,32, 395.00 ,430058.0667,3318327.66,0,0,1,0,0,1
2578958,ARHUAC,166," 23,781.00 ",11882373.98,17158172.79,0,0,0,1,0,0
7750462,ARRILE,133," 1,557.00 ",1528560.148,13684066.18,0,0,0,0,1,0
5299894,ARHUAC,151," 7,218.00 ",4895014.629,15403124.26,0,0,0,1,0,0
8546265,ARLEEE,31, 596.00 ,468469.6184,3160628.401,0,0,1,1,0,1
4582004,ARBLSS,116," 4,979.00 ",3516718.389,11792930.82,2,0,0,0,0,0
1484627,AFLACK,30," 1,831.00 ",1542008.328,3049538.686,0,0,1,0,1,1
7904760,AFACDY,62," 7,291.00 ",6107500.537,6301754.495,0,0,1,0,0,1
4227513,ARBLSS,32," 2,693.00 ",3103838.465,3236754.149,0,0,0,0,1,1
8322178,MCCLJN,122," 1,591.00 ",1124715.32,12319624.42,1,1,0,1,0,0
7409765,ARBRAG,32, 359.00 ,321744.567,3227383.985,0,1,0,0,0,1
4375013,ARHUAC,184," 7,587.00 ",5796315.739,18555885.82,0,0,0,0,0,0
9012937,ARBLSS,90," 15,031.00 ",7143841.394,9060693.76,0,0,0,1,0,1
4517951,ARLEEE,31, 904.00 ,873022.0182,3115430.596,0,0,1,0,0,1
4472840,ARPOLK,122," 4,755.00 ",6564619.753,12247744.93,1,0,0,0,0,0
1553326,AFACDY,32," 3,295.00 ",2646914.584,3202906.972,0,0,1,0,0,1
2499831,ARPOLK,93," 5,706.00 ",4256941.553,9296571.175,0,0,0,0,0,0
1690698,FLGLCO,61," 4,981.00 ",8328851.92,6085929.188,2,0,1,1,0,1
4448813,AFKEES,120," 5,347.00 ",4574948.755,11952158.1,0,0,1,0,0,0
5226411,ARLEEE,31," 4,720.00 ",3924123.95,3086434.429,1,0,1,0,1,1
8183080,ARCAMP,185," 7,836.00 ",5477211.811,18399133.3,1,1,0,0,0,0
8857414,AFLACK,61," 1,989.00 ",1551919.421,6055769.644,0,0,1,1,0,1
3594831,ARHUAC,212," 8,930.00 ",6503349.05,21043861.13,1,0,0,0,0,0
6793115,MCHAWI,95," 15,500.00 ",13031353.36,9419024.151,0,0,0,0,0,0
5365559,ARBRAG,32, 374.00 ,307706.2339,3161668.849,0,1,0,1,0,1
5274198,ARHUAC,61," 1,781.00 ",1170673.487,6025810.787,0,0,0,1,0,1
2258682,ARRILE,61, 467.00 ,421975.5843,6008448.515,1,0,0,0,1,1
5055783,MC29PM,154," 4,191.00 ",3315825.621,15167118,4,0,0,0,0,0
9261785,ARBLSS,89," 5,358.00 ",3452410.278,8761729.678,0,0,0,1,0,1
4959023,ARBLSS,30," 2,686.00 ",1509449.609,2948417.674,0,0,0,1,0,1
1787090,MCCLJN,31," 3,046.00 ",2779572.15,3045397.484,2,1,0,0,0,1
6088519,ARBLSS,62," 4,350.00 ",3001563.832,6090015.34,0,0,0,0,0,1
9931700,ARBRAG,123," 1,182.00 ",1127150.723,12075132.09,2,1,0,1,0,0
9498658,ARGORD,31," 1,336.00 ",1278184.996,3035580.545,0,0,0,1,0,1
9523762,MCCLJN,60," 2,164.00 ",1541359.334,5860148.532,1,1,0,0,0,1
7043001,ARLEEE,121," 18,390.00 ",16039548.64,11801280.84,0,0,1,0,0,0
6282942,AFLACK,61, 271.00 ,140290.2675,5944074.217,0,0,1,1,0,1
6995399,MC29PM,91," 3,564.00 ",2701919.18,8863729.677,1,0,0,0,1,0
2349244,ARLEEE,62," 2,696.00 ",2539680.983,6038924.741,0,0,1,0,0,1
7788688,MCCLJN,31," 2,398.00 ",2045650.539,3018603.42,0,1,0,0,0,1
4967271,MCCHPT,48," 2,987.00 ",3730300.282,4660881.634,0,1,0,0,0,1
8156397,ARBLSS,60," 5,132.00 ",3467754.34,5825830.802,0,0,0,0,0,1
1393316,ARCAMP,61," 2,690.00 ",2323779.924,5901566.827,0,1,0,1,0,1
4060662,ARBLSS,35," 2,513.00 ",1499082.031,3382049.02,0,0,0,0,0,1
6604811,AFACDY,32," 5,278.00 ",4778290.259,3089023.877,0,0,1,0,0,1
2252337,AFACDY,31," 3,356.00 ",3021862.982,2987077.2,0,0,1,0,0,1
2363122,ARBLSS,121," 7,359.00 ",4201092.656,11652358.57,0,0,0,0,0,0
5498304,ARHOUS,92," 1,627.00 ",1473510.677,8845518.064,0,0,1,0,1,0
9494418,AFACDY,61," 4,964.00 ",4116621.377,5859379.86,0,0,1,0,0,1
4609371,ARRILE,61," 2,870.00 ",4429295.311,5820054.629,0,0,0,1,0,1
1669173,ARHOOD,122," 2,292.00 ",1873207.472,11607217.07,0,0,0,1,0,0
9263001,ARLEOW,91," 1,807.00 ",1686373.004,8643634.238,0,0,1,0,1,0
1645766,AFKEES,31," 1,656.00 ",1257391.114,2944073.955,0,0,1,1,0,1
7507834,MCCLJN,89," 4,835.00 ",3905982.531,8450706.545,0,1,0,1,0,1
4121818,ARBLSS,182," 8,416.00 ",5047414.144,17213614.35,0,0,0,1,0,0
1539503,ARRILE,71," 1,004.00 ",1172920.858,6690340.905,0,0,0,0,0,1
6135352,MCCLJN,92," 5,704.00 ",5604107.106,8634337.177,0,1,0,0,1,0
5144106,ARRILE,55," 1,655.00 ",2068826.077,5160068.67,1,0,0,1,0,1
7740430,ARHOOD,31," 1,912.00 ",1334440.518,2901204.397,0,0,0,0,0,1
8900916,AFSHEP,153," 14,240.00 ",6343626.928,14300749.3,0,0,1,0,0,0
2452650,ARSILL,154," 4,683.00 ",4401038.9,14382503.4,2,0,0,0,1,0
5062230,ARLEEE,61," 8,324.00 ",6261967.771,5680029.505,0,0,1,1,0,1
7475860,ARBLSS,181," 8,092.00 ",3828085.928,16773207.11,0,0,0,1,0,0
5412001,MCHAWI,39," 8,501.00 ",7889095.729,3611132.07,0,0,0,0,0,1
9597262,ARLEEE,30," 1,017.00 ",789324.2337,2770213.101,0,0,1,1,0,1
3729920,AFACDY,31," 7,252.00 ",3609636.002,2861124.584,1,0,1,0,0,1
2768372,ARHOOD,63," 2,614.00 ",2288318.48,5803063.655,1,0,0,1,0,1
6334174,ARBLSS,108," 3,868.00 ",2006460.277,9924324.731,0,0,0,1,0,0
6643985,ARLEEE,32," 1,376.00 ",1533382.299,2939843.965,0,0,1,0,0,1
9149243,ARHOUS,122," 1,535.00 ",1726486.53,11182654.22,0,0,1,0,1,0
9655778,ARHUAC,151," 13,059.00 ",8925426.141,13837332.11,0,0,0,0,0,0
2117976,ARHOOD,212," 4,433.00 ",4158638.678,19425290.77,1,0,0,0,0,0
7561585,ARLEOW,61," 1,107.00 ",967687.7316,5573185.216,0,0,1,0,1,1
4964518,ARHUAC,155," 17,516.00 ",11974191.86,14053106.7,0,0,0,0,0,0
2708056,AFLACK,30," 5,005.00 ",2560419.933,2716440.88,0,0,1,1,0,1
6147858,MCCLJN,37," 1,905.00 ",1358818.883,3347359.733,0,1,0,0,0,1
1430611,MCCLJN,61," 1,467.00 ",1189850.718,5516921.924,0,1,0,0,1,1
